id,question,options,answer,notes,Tags,questionPre
220211032,张三作为农业生产者，承受占用位于建制镇的一片荒山。张三开垦后用于农业生产。关于该情况，下列说法正确的有{{c1::}}。,转让土地使用权的一方免征增值税<br>||张三免征契税<br>||该农业生产用地免征城镇土地使用税<br>||张三需要缴纳耕地占用税<br>,1||2||3,参考解析：本题考核农业生产用地综合税种问题。根据规定，将土地使用权转让给农业生产者用于农业生产的，免征增值税；纳税人承受荒山、荒地、荒滩土地使用权，用于农、林、牧、渔业生产的，免征契税；直接用于农、林、牧、渔业的生产用地，免征城镇土地使用税；耕地占用税是占用耕地从事建房和非农业建设的单位或者个人，征收的一种税，张三承受土地用于农业生产，不属于征税范围。<br>,模拟试卷二,
220211033,甲公司3月发生的下列活动中，属于重大税收违法失信案件的信息公布范围的有{{c1::}}。,在账簿上多列支出，使其少缴应纳税款11万元<br>||通过转移财产的手段欠缴税款金额50万元<br>||以暴力、威胁方法拒不缴纳税款<br>||骗取国家出口退税款的<br>,2||3||4,参考解析：本题考核重大税收违法失信案件的公布范围。选项A的税款金额未达到公布标准。根据规定，纳税人伪造、变造、隐匿、擅自销毁账簿、记账凭证，或者在账簿上多列支出或者不列、少列收入，或者经税务机关通知申报而拒不申报或者进行虚假的纳税申报，不缴或者少缴应纳税款“100万元以上”，且任一年度不缴或者少缴应纳税款占当年各税种应纳税总额“10％以上”的，属于信息公布的范围。<br>,模拟试卷二,
220211034,行政责任中撤职、记过、开除，均属于行政处罚。{{c1::}},对<br>||错<br>,2,参考解析：本题考核行政处分。对因违法违纪应当承担纪律责任的公务员给予的行政处分种类有：警告、记过、记大过、降级、撤职、开除六类。<br>,模拟试卷二,
220211035,出票人在票据上的签章不符合法律规定的，其签章无效，但不影响其他符合规定签章的效力。{{c1::}},对<br>||错<br>,2,参考解析：本题考核票据签章无效的情况。根据规定，出票人在票据上的签章不符合法律规定的，票据无效；背书人在票据上的签章不符合法律规定的，其签章无效，但不影响其前手符合规定签章的效力。<br>,模拟试卷二,
220211036,张某从事会计工作因挪用公款被判处有期徒刑，刑罚期满后5年，可以从事会计工作。{{c1::}},对<br>||错<br>,2,参考解析：本题考核会计工作岗位设置要求。根据规定，因有提供虚假财务会计报告，做假账，隐匿或者故意销毁会计凭证、会计账簿、财务会计报告，贪污，挪用公款，职务侵占等与会计职务有关的违法行为被依法追究刑事责任的人员，不得再从事会计工作，故张某终身不得从事会计工作。<br>,模拟试卷二,
220211037,用人单位设立的分支机构，依法取得营业执照或者登记证书的，可以作为用人单位与劳动者订立劳动合同。{{c1::}},对<br>||错<br>,1,参考解析：本题考核劳动合同订立主体的资格要求。<br>,模拟试卷二,
220211038,航空运输企业的增值税销售额包括代收的民航发展基金和代售其他航空运输企业客票而代收转付的价款。{{c1::}},对<br>||错<br>,2,参考解析：本题考核增值税销售额的确定。根据规定，航空运输企业的销售额，不包括代收的民航发展基金和代售其他航空运输企业客票而代收转付的价款。<br>,模拟试卷二,
220211039,非公有制企业党组织工作经费纳入工会经费列支，不超过职工年度工资薪金总额1％的部分，可以据实在企业所得税前扣除。{{c1::}},对<br>||错<br>,2,参考解析：本题考核党组织工作经费的扣除规定。非公有制企业党组织工作经费纳入“企业管理费”列支，不超过职工年度工资薪金总额1％的部分，可以据实在企业所得税前扣除。<br>,模拟试卷二,
220211040,纳税人开采或者生产同一应税产品，其中既有享受减免税政策的，又有不享受减免税政策的，按照免税、减税项目的产量占比等方法分别核算确定免税、减税项目的销售额或者销售数量。{{c1::}},对<br>||错<br>,1,参考解析：本题考核资源税的税收优惠适用。<br>,模拟试卷二,
220211041,先以划拨方式取得土地使用权，后经批准转让房地产，划拨土地性质改为出让的，转让方应以补缴的土地出让价款为计税依据、承受方应以房地产权属转移合同确定的成交价格为计税依据缴纳契税。{{c1::}},对<br>||错<br>,2,参考解析：本题考核契税计税依据的具体规定。根据规定，先以划拨方式取得土地使用权，后经批准转让房地产，划拨土地性质改为出让的，“承受方”应分别以补缴的土地出让价款和房地产权属转移合同确定的成交价格为计税依据缴纳契税。<br>,模拟试卷二,
220211042,税务机关依法行使代位权、撤销权的，不免除欠缴税款的纳税人尚未履行的纳税义务和应承担的法律责任。{{c1::}},对<br>||错<br>,1,参考解析：本题考核税收代位权与撤销权。<br>,模拟试卷二,
220211043,重大税收违法失信案件信息一经录入相关税务信息管理系统，作为当事人的税收信用记录保存3年。{{c1::}},对<br>||错<br>,2,参考解析：本题考核重大税收违法信息案件的公布管理程序。根据规定，案件信息一经录入相关税务信息管理系统，作为当事人的税收信用记录永久保存。重大税收违法失信案件信息自公布之日起满3年的，停止公布并从公告栏中撤出。<br>,模拟试卷二,
220211044,王某在P银行申请开立甲公司存款账户的下列事项中，正确的是{{c1::}}。,代表甲公司与P银行签订银行结算账户管理协议<br>||填写开户申请书<br>||向P银行出具甲公司营业执照<br>||在开户申请书上加盖甲公司公章<br>,1||2||3||4,参考解析：选项A，开立银行结算账户时，银行应与存款人签订银行结算账户管理协议，明确双方的权利和义务；选项B、D，开立单位银行结算账户时，应填写“开立单位银行结算账户申请书”，并加盖单位公章和法定代表人(单位负责人）或其授权代理人的签名或者盖章；选项C，企业法人应出具企业法人营业执照。<br>,模拟试卷二,2021年10月，甲公司法定代表人王某在P银行为本公司开立了基本存款账户，同时本人在P银行申领一张借记卡。2021年11月，王某为向女友发节日红包，首次开通了“爱聊通”支付机构的I类支付账户，绑定了本人在P银行借记卡账户作为实名验证。2021年12月甲公司发生4笔业务，收到现金货款2万元，支付原材料采购款6万元，支付劳务费4万元，提取周转现金1万元。已知：各账户存款余额充足。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211045,甲公司通过P银行存款账户可以办理的业务是{{c1::}}。,提取现金1万元<br>||支付劳务费4万元<br>||支付原材料采购款6万元<br>||存入现金货款2万元<br>,1||2||3||4,参考解析：基本存款账户是存款人的主办账户，存款人日常经营活动的资金收付及其工资、奖金和现金的支取，应通过基本存款账户办理。<br>,模拟试卷二,2021年10月，甲公司法定代表人王某在P银行为本公司开立了基本存款账户，同时本人在P银行申领一张借记卡。2021年11月，王某为向女友发节日红包，首次开通了“爱聊通”支付机构的I类支付账户，绑定了本人在P银行借记卡账户作为实名验证。2021年12月甲公司发生4笔业务，收到现金货款2万元，支付原材料采购款6万元，支付劳务费4万元，提取周转现金1万元。已知：各账户存款余额充足。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211046,王某使用其个人借记卡可以办理的业务是{{c1::}}。,购买P银行理财产品10万元<br>||存入甲公司的现金货款2万元<br>||在商场刷卡消费1万元<br>||在ATM机上一次性提取现金5万元<br>,1||3,参考解析：选项B，严禁将单位的款项转入个人卡账户存储；选项D，“借记卡”持卡人通过ATM等自助机具办理现金提取业务，每卡每日累计不得超过人民币2万元。<br>,模拟试卷二,2021年10月，甲公司法定代表人王某在P银行为本公司开立了基本存款账户，同时本人在P银行申领一张借记卡。2021年11月，王某为向女友发节日红包，首次开通了“爱聊通”支付机构的I类支付账户，绑定了本人在P银行借记卡账户作为实名验证。2021年12月甲公司发生4笔业务，收到现金货款2万元，支付原材料采购款6万元，支付劳务费4万元，提取周转现金1万元。已知：各账户存款余额充足。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211047,王某通过“爱聊通”支付账户余额付款交易，累计向女友发红包的最高金额是{{c1::}}。,500元<br>||5000元<br>||1000元<br>||2000元<br>,3,参考解析：本题考核支付账户的交易。根据规定，以非面对面方式通过至少一个合法安全的外部渠道进行身份基本信息验证，且首次在该支付机构开立支付账户的个人客户，可以开立I类支付账户。账户余额付款交易自账户开立起累计不超过1000元。本题中，王某开立的是I类支付账户，且只通过绑定银行卡的方式验证了一个外部渠道，因此其通过该支付账户的“余额付款”交易累计不超过1000元。<br>,模拟试卷二,2021年10月，甲公司法定代表人王某在P银行为本公司开立了基本存款账户，同时本人在P银行申领一张借记卡。2021年11月，王某为向女友发节日红包，首次开通了“爱聊通”支付机构的I类支付账户，绑定了本人在P银行借记卡账户作为实名验证。2021年12月甲公司发生4笔业务，收到现金货款2万元，支付原材料采购款6万元，支付劳务费4万元，提取周转现金1万元。已知：各账户存款余额充足。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211048,甲建筑公司当月销售自产活动板房同时提供安装服务的增值税销项税额的下列计算中，正确的是{{c1::}}。,147.804÷（1＋13％）×13％＋43.1095÷（1＋9％）×9％＝20.5635（万元）<br>||147.804÷（1＋13％）×13％＝17.004（万元）<br>||（147.804＋43.1095）÷（1＋13％）×13％＝21.9635（万元）<br>||（147.804＋43.1095）÷（1＋9％）×9％＝15.7635（万元）<br>,1,参考解析：自2017年5月起，纳税人销售活动板房、机器设备、钢结构件等自产货物的同时提供建筑、安装服务，不属于混合销售，应分别核算货物和建筑服务的销售额，分别适用不同的税率或者征收率。提供安装服务按照销售建筑服务适用9％的税率计征增值税，销售自产活动板房适用13％的税率。<br>,模拟试卷二,甲建筑公司为增值税一般纳税人，主要从事建筑工程施工及活动板房的生产和安装业务。2021年10月有关经营情况如下：<br>（1）承建的P酒店项目当月竣工结算，取得含增值税工程款2 180万元，另取得奖励款21.8万元。P酒店项目适用一般计税方法计税。<br>（2）承建的Q住宅项目当月竣工结算，取得含增值税工程款5 150万元；支付含增值税分包款1 030万元，取得增值税普通发票注明税额30万元。Q住宅项目选择简易计税方法计税。<br>（3）购进P酒店项目用工程材料，取得增值税专用发票注明税额130万元。<br>（4）支付Q住宅项目的劳务派遣服务费，取得增值税专用发票注明税额0.36万元。<br>（5）进口专用设备共用于P酒店项目和Q住宅项目，取得海关进口增值税专用缴款书注明税额52万元。<br>（6）销售自产活动板房同时提供安装服务，取得活动板房含增值税价款147.804万元、安装服务含增值税价款43.1095万元。<br>已知：销售货物增值税税率为13％，销售建筑服务增值税税率为9％，增值税征收率为3％。取得的扣税凭证均符合抵扣规定。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211049,甲建筑公司的下列进项税额中，准予从销项税额中抵扣的是{{c1::}}。,支付Q住宅项目劳务派遣服务费的进项税额0.36万元<br>||支付分包款的进项税额30万元<br>||购进P酒店项目用工程材料的进项税额130万元<br>||进口专用设备的进项税额52万元<br>,3||4,参考解析：选项AB，用于简易计税方法计税项目的购进服务不得从销项税额中抵扣进项税额；选项D，既用于简易计税方法计税项目又用于抵扣项目的固定资产，该进项税额准予全部抵扣。<br>,模拟试卷二,甲建筑公司为增值税一般纳税人，主要从事建筑工程施工及活动板房的生产和安装业务。2021年10月有关经营情况如下：<br>（1）承建的P酒店项目当月竣工结算，取得含增值税工程款2 180万元，另取得奖励款21.8万元。P酒店项目适用一般计税方法计税。<br>（2）承建的Q住宅项目当月竣工结算，取得含增值税工程款5 150万元；支付含增值税分包款1 030万元，取得增值税普通发票注明税额30万元。Q住宅项目选择简易计税方法计税。<br>（3）购进P酒店项目用工程材料，取得增值税专用发票注明税额130万元。<br>（4）支付Q住宅项目的劳务派遣服务费，取得增值税专用发票注明税额0.36万元。<br>（5）进口专用设备共用于P酒店项目和Q住宅项目，取得海关进口增值税专用缴款书注明税额52万元。<br>（6）销售自产活动板房同时提供安装服务，取得活动板房含增值税价款147.804万元、安装服务含增值税价款43.1095万元。<br>已知：销售货物增值税税率为13％，销售建筑服务增值税税率为9％，增值税征收率为3％。取得的扣税凭证均符合抵扣规定。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211050,甲公司承建P酒店项目的增值税销项税额的下列计算中，正确的是{{c1::}}。,（2 180＋21.8）÷（1＋9％）×9％＝181.8（万元）<br>||2 180÷（1＋9％）×9％＝180（万元）<br>||2 180÷（1＋9％）×9％＋21.8×9％＝181.962（万元）<br>||2 180×9％＋21.8÷（1＋9％）×9％＝198（万元）<br>,1,参考解析：取得的奖励款属于价外费用，需并入销售额计征增值税。价外费用和工程款均为含税金额，需要换算为不含税金额。<br>,模拟试卷二,甲建筑公司为增值税一般纳税人，主要从事建筑工程施工及活动板房的生产和安装业务。2021年10月有关经营情况如下：<br>（1）承建的P酒店项目当月竣工结算，取得含增值税工程款2 180万元，另取得奖励款21.8万元。P酒店项目适用一般计税方法计税。<br>（2）承建的Q住宅项目当月竣工结算，取得含增值税工程款5 150万元；支付含增值税分包款1 030万元，取得增值税普通发票注明税额30万元。Q住宅项目选择简易计税方法计税。<br>（3）购进P酒店项目用工程材料，取得增值税专用发票注明税额130万元。<br>（4）支付Q住宅项目的劳务派遣服务费，取得增值税专用发票注明税额0.36万元。<br>（5）进口专用设备共用于P酒店项目和Q住宅项目，取得海关进口增值税专用缴款书注明税额52万元。<br>（6）销售自产活动板房同时提供安装服务，取得活动板房含增值税价款147.804万元、安装服务含增值税价款43.1095万元。<br>已知：销售货物增值税税率为13％，销售建筑服务增值税税率为9％，增值税征收率为3％。取得的扣税凭证均符合抵扣规定。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211051,甲公司承建Q住宅项目应缴纳的增值税税额的下列计算中，正确的是{{c1::}}。,（5 150－1 030）×3％＝123.6（万元）<br>||5 150÷（1＋3％）×3％＝150（万元）<br>||5 150÷（1＋3％）×3％－30＝120（万元）<br>||（5 150－1 030）÷（1＋3％）×3％＝120（万元）<br>,4,参考解析：纳税人提供建筑服务适用简易计税方法的，以取得的全部价款和价外费用扣除支付的分包款后的余额为销售额。工程款和分包款均为含税金额，计算出的余额应换算为不含税金额。<br>,模拟试卷二,甲建筑公司为增值税一般纳税人，主要从事建筑工程施工及活动板房的生产和安装业务。2021年10月有关经营情况如下：<br>（1）承建的P酒店项目当月竣工结算，取得含增值税工程款2 180万元，另取得奖励款21.8万元。P酒店项目适用一般计税方法计税。<br>（2）承建的Q住宅项目当月竣工结算，取得含增值税工程款5 150万元；支付含增值税分包款1 030万元，取得增值税普通发票注明税额30万元。Q住宅项目选择简易计税方法计税。<br>（3）购进P酒店项目用工程材料，取得增值税专用发票注明税额130万元。<br>（4）支付Q住宅项目的劳务派遣服务费，取得增值税专用发票注明税额0.36万元。<br>（5）进口专用设备共用于P酒店项目和Q住宅项目，取得海关进口增值税专用缴款书注明税额52万元。<br>（6）销售自产活动板房同时提供安装服务，取得活动板房含增值税价款147.804万元、安装服务含增值税价款43.1095万元。<br>已知：销售货物增值税税率为13％，销售建筑服务增值税税率为9％，增值税征收率为3％。取得的扣税凭证均符合抵扣规定。<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211052,,,,参考解析：<br>,模拟试卷二,
220211053,林某当月缴付的下列费用中，准予从个人所得税应纳税所得额中扣除的是{{c1::}}。,基本养老保险费880元<br>||失业保险费55元<br>||基本医疗保险费220元<br>||宿舍水电费400元<br>,1||2||3,参考解析：由个人负担的“三险一金”在计算工资、薪金所得时做专项扣除。 2.C【解析】单位代扣食堂伙食费不得在个人所得税税前扣除。扣缴义务人向居民个人支付工资、薪金所得时，应当按照“累计预扣法”计算预扣税款，并“按月”办理全员全额扣缴申报。 累计预扣预缴应纳税所得额＝累计收入－累计免税收入－累计减除费用－累计专项扣除－累计专项附加扣除－累计依法确定的其他扣除。 本期应预扣预缴税额＝（累计预扣预缴应纳税所得额×预扣率－速算扣除数)－累计减免税额－累计已预扣预缴税额。<br>,模拟试卷二,中国公民林某是甲歌舞团的舞蹈演员，2021年1月有关收支情况如下：<br>（1）应发基本工资4 000元，奖金9 000元，单位代扣代缴基本养老保险费880元、失业保险费55元、基本医疗保险费220元；单位代扣食堂伙食费400元。<br>（2）受邀出演乙文化公司创作的舞剧，演出四场共获得劳务报酬22 000元。<br>林某在当年10月从甲房地产开发企业购买了一套捆绑地下产权储藏室的住房，合同总价款469万元（含增值税），其中储藏室价款25万元。住房与储藏室分别登记在两个不动产权证上，各自对应不同的不动产单元号。<br>已知：工资、薪金所得减除费用标准为5 000元/月。林某所在省份根据契税法授权确定的住房契税税率为3%，非住房契税税率为4%。甲房地产开发企业适用增值税税率为9%。<br>居民个人工资、薪金所得预扣预缴适用（节选）<br>级数<br>累计预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过36 000元的部分<br>3<br>0<br>2<br>超过36 000元至144 000元的部分<br>10<br>2 520<br>居民个人劳务报酬所得预扣预缴适用<br>级数<br>预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过20 000元的<br>20<br>0<br>2<br>超过20 000元至50 000元的部分<br>30<br>2 000<br>3<br>超过50 000元的部分<br>40<br>7 000<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211054,林某1月份工资、薪金所得应由单位预扣预缴个人所得税税额的计算，正确的是{{c1::}}。,（4 000＋9 000－5 000－880－55－220－400）×3％＝193.35（元）<br>||（4 000＋9 000－5 000－400）×3％＝228（元）<br>||（4 000＋9 000－5 000－880－55－220）×3％＝205.35（元）<br>||（4 000＋9 000－5 000－880－400）×3％＝201.60（元）<br>,3,参考解析：单位代扣食堂伙食费不得在个人所得税税前扣除。扣缴义务人向居民个人支付工资、薪金所得时，应当按照“累计预扣法”计算预扣税款，并“按月”办理全员全额扣缴申报。 累计预扣预缴应纳税所得额＝累计收入－累计免税收入－累计减除费用－累计专项扣除－累计专项附加扣除－累计依法确定的其他扣除。 本期应预扣预缴税额＝（累计预扣预缴应纳税所得额×预扣率－速算扣除数)－累计减免税额－累计已预扣预缴税额。<br>,模拟试卷二,中国公民林某是甲歌舞团的舞蹈演员，2021年1月有关收支情况如下：<br>（1）应发基本工资4 000元，奖金9 000元，单位代扣代缴基本养老保险费880元、失业保险费55元、基本医疗保险费220元；单位代扣食堂伙食费400元。<br>（2）受邀出演乙文化公司创作的舞剧，演出四场共获得劳务报酬22 000元。<br>林某在当年10月从甲房地产开发企业购买了一套捆绑地下产权储藏室的住房，合同总价款469万元（含增值税），其中储藏室价款25万元。住房与储藏室分别登记在两个不动产权证上，各自对应不同的不动产单元号。<br>已知：工资、薪金所得减除费用标准为5 000元/月。林某所在省份根据契税法授权确定的住房契税税率为3%，非住房契税税率为4%。甲房地产开发企业适用增值税税率为9%。<br>居民个人工资、薪金所得预扣预缴适用（节选）<br>级数<br>累计预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过36 000元的部分<br>3<br>0<br>2<br>超过36 000元至144 000元的部分<br>10<br>2 520<br>居民个人劳务报酬所得预扣预缴适用<br>级数<br>预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过20 000元的<br>20<br>0<br>2<br>超过20 000元至50 000元的部分<br>30<br>2 000<br>3<br>超过50 000元的部分<br>40<br>7 000<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211055,计算林某当月演出劳务报酬所得，应由支付单位预扣预缴个人所得税税额的下列算式中，正确的是{{c1::}}。,22 000×30％－2 000＝4 600（元）<br>||22 000×（1－20％）×20％＝3 520（元）<br>||（5 500－800）×20％×4＝3 760（元）<br>||22 000×（1－20％）×70％×20％＝2 464（元）<br>,2,参考解析：①劳务报酬所得、稿酬所得、特许权使用费所得，以“每次收入额”为预扣预缴应纳税所得额。“劳务报酬”属于同一事项连续取得收入的，以一个月内取得的收入为一次；②劳务报酬所得、稿酬所得、特许权使用费所得以收入减除费用后的余额为收入额。其中，稿酬所得的收入额减按70％计算；③劳务报酬所得、稿酬所得、特许权使用费所得每次收入不超过4 000元的，减除费用按800元计算；每次收入4 000元以上的，减除费用按20％计算；④劳务报酬所得应预扣预缴税额＝预扣预缴应纳税所得额×预扣率－速算扣除数。<br>,模拟试卷二,中国公民林某是甲歌舞团的舞蹈演员，2021年1月有关收支情况如下：<br>（1）应发基本工资4 000元，奖金9 000元，单位代扣代缴基本养老保险费880元、失业保险费55元、基本医疗保险费220元；单位代扣食堂伙食费400元。<br>（2）受邀出演乙文化公司创作的舞剧，演出四场共获得劳务报酬22 000元。<br>林某在当年10月从甲房地产开发企业购买了一套捆绑地下产权储藏室的住房，合同总价款469万元（含增值税），其中储藏室价款25万元。住房与储藏室分别登记在两个不动产权证上，各自对应不同的不动产单元号。<br>已知：工资、薪金所得减除费用标准为5 000元/月。林某所在省份根据契税法授权确定的住房契税税率为3%，非住房契税税率为4%。甲房地产开发企业适用增值税税率为9%。<br>居民个人工资、薪金所得预扣预缴适用（节选）<br>级数<br>累计预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过36 000元的部分<br>3<br>0<br>2<br>超过36 000元至144 000元的部分<br>10<br>2 520<br>居民个人劳务报酬所得预扣预缴适用<br>级数<br>预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过20 000元的<br>20<br>0<br>2<br>超过20 000元至50 000元的部分<br>30<br>2 000<br>3<br>超过50 000元的部分<br>40<br>7 000<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
220211056,林某承受房屋和储藏室权属契税的下列算式中，正确的是{{c1::}}。,469÷(1+9%)×3%＝12.91(万元)<br>||（469-25）÷(1+9%)×3%+25÷(1+9%)×4%＝13.14(万元)<br>||（469-25）×3%+25×4%＝14.32(万元)<br>||469÷(1+9%)×4%＝17.21（万元）<br>,2,参考解析：房屋附属设施（包括停车位、机动车库、非机动车库、顶层阁楼、储藏室及其他房屋附属设施）与房屋为同一不动产单元的，计税依据为承受方应交付的总价款，并适用与房屋相同的税率；房屋附属设施与房屋为不同不动产单元的，计税依据为转移合同确定的成交价格，并按当地确定的适用税率计税。同时，承受方计征契税的成交价格不含增值税。本题中，林某购买的房屋与储藏室为不同不动产单元，因此应分别按照各自税率计征契税。<br>,模拟试卷二,中国公民林某是甲歌舞团的舞蹈演员，2021年1月有关收支情况如下：<br>（1）应发基本工资4 000元，奖金9 000元，单位代扣代缴基本养老保险费880元、失业保险费55元、基本医疗保险费220元；单位代扣食堂伙食费400元。<br>（2）受邀出演乙文化公司创作的舞剧，演出四场共获得劳务报酬22 000元。<br>林某在当年10月从甲房地产开发企业购买了一套捆绑地下产权储藏室的住房，合同总价款469万元（含增值税），其中储藏室价款25万元。住房与储藏室分别登记在两个不动产权证上，各自对应不同的不动产单元号。<br>已知：工资、薪金所得减除费用标准为5 000元/月。林某所在省份根据契税法授权确定的住房契税税率为3%，非住房契税税率为4%。甲房地产开发企业适用增值税税率为9%。<br>居民个人工资、薪金所得预扣预缴适用（节选）<br>级数<br>累计预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过36 000元的部分<br>3<br>0<br>2<br>超过36 000元至144 000元的部分<br>10<br>2 520<br>居民个人劳务报酬所得预扣预缴适用<br>级数<br>预扣预缴应纳税所得额<br>预扣率（％）<br>速算扣除数<br>1<br>不超过20 000元的<br>20<br>0<br>2<br>超过20 000元至50 000元的部分<br>30<br>2 000<br>3<br>超过50 000元的部分<br>40<br>7 000<br>要求：根据上述资料，不考虑其他因素，分析回答下列小题。<br>
